id,name,city,birthdate,purchases,total_amount
61,Joaquín Vargas,Chillán ,1984-08-01,1,223434
497,Daniela Díaz,Santiago,1999-10-17,2,2373351
341,Martina Pérez,Valparaíso,2010-10-20,0,0
588,Valentina Muñoz,Santiago,1988-11-22,0,0
574,Daniela Rojas,Antofagasta,1925-10-03,4,1958708
544,Gabriel Contreras,Rancagua,1991-07-06,1,115636
101,María Silva,Concepción,2004-10-22,1,95174
192,Ignacio Soto,Antofagasta,2005-10-02,0,0
412,Sofía Vargas,Antofagasta,1980-08-04,0,0
378,Antonia Riquelme,Santiago,1994-01-31,3,140138
162,Fernanda Aravena,Santiago,1974-09-18,4,1018427
564,Antonio Rios,Iquique,1974-04-24,1,92217
467,Isidora González,Santiago,2006-08-08,2,135938
392,Daniela Rojas,Temuco,1997-08-14,0,0
336,Lucas Ramírez,Santiago,2010-09-27,0,0
461,María Mendoza,Concepción,1994-05-22,2,37639
2,Martina Pérez,Antofagasta,2001-01-16,1,108820
383,Pedro López,Santiago,1990-09-01,0,0
589,Gabriel Soto,Concepción,1997-05-31,0,0
149,Ana Fuentes,Valparaíso,2000-01-13,1,31508
180,Sofía Flores,La Serena,2003-10-23,0,0
145,Isidora García,Concepción,2002-11-18,2,2198277
592,Isidora Soto,Iquique,1979-09-05,0,0
55,Sofía Rios,Santiago,1986-04-26,0,0
542,Tomás González,Chillán ,1968-12-26,0,0
142,Fernanda Fuentes,Iquique,1984-01-15,0,0
406,Vicente Riquelme,Santiago,1998-04-22,2,417691
42,Ignacio González,Santiago,1999-02-16,1,658991
7,Pedro Contreras,Chillán ,1974-08-20,5,223762
33,Ignacio Rios,Santiago,2010-05-25,1,31508
91,Valentina Riquelme,Concepción,1992-12-14,0,0
103,Mateo Muñoz,Santiago,1995-07-15,0,0
296,Sofía Rojas,Concepción,2010-10-29,1,35497
119,María Fuentes,Valparaíso,1980-08-03,1,37341
118,Valentina Fuentes,Santiago,1992-09-01,1,31508
585,Joaquín Fuentes,Valparaíso,1995-07-16,1,32643
345,Tomás Rios,Chillán ,2003-07-29,5,734810
49,María Hernández,Santiago,1993-07-03,2,41062
94,Valentina Rios,Santiago,1994-03-14,2,592180
109,Vicente Pérez,Santiago,1981-05-05,1,719442
308,Valentina Riquelme,Santiago,1997-04-25,0,0
20,Catalina Martínez,Santiago,1964-02-24,3,844089
346,Fernanda González,Puerto Montt,2000-01-24,1,82199
235,Isidora Fuentes,Antofagasta,1991-07-26,2,59186
537,Antonia Fuentes,Valparaíso,2000-11-06,1,6804
239,Camila Aravena,Concepción,1982-01-08,1,47045
250,Joaquín Martínez,Puerto Montt,,0,0
493,Fernanda Aravena,Iquique,1975-07-05,0,0
211,Daniela Ramírez,Rancagua,,1,35769
245,Gabriel Silva,Antofagasta,1987-06-17,0,0
532,Camila Rojas,Puerto Montt,2010-05-31,0,0
381,Antonia Riquelme,Antofagasta,1992-10-13,3,1881888
69,Joaquín Ramírez,Santiago,1993-07-28,0,0
29,Antonia Rios,Santiago,1985-05-07,1,3395528
330,Daniela Vargas,Santiago,2009-03-28,18,3422598
166,Ignacio Flores,Santiago,1985-12-25,2,443321
10,Ignacio González,La Serena,1984-05-01,1,7162
63,Ignacio Díaz,La Serena,1993-06-10,1,54224
339,Valentina Rios,Santiago,1989-12-19,0,0
505,Catalina Silva,Santiago,1998-05-06,1,32068
106,Catalina Contreras,Santiago,1981-08-13,1,552330
508,Tomás Riquelme,Santiago,2007-06-27,0,0
281,Antonia Flores,Chillán ,2001-04-21,0,0
426,Pedro Torres,Santiago,1962-08-11,2,110869
498,Isidora González,Santiago,1993-02-03,0,0
538,Antonia Torres,Valparaíso,1993-10-10,1,86525
14,Martina Silva,Concepción,2003-08-11,1,33905
518,Lucas Pérez,Santiago,1995-10-14,1,9667
533,Ana Martínez,Antofagasta,1989-08-12,1,30404
203,Valentina Ramírez,Concepción,2006-11-04,0,0
18,Joaquín López,Santiago,2009-11-01,1,581400
321,Sofía Mendoza,Santiago,1997-09-29,2,234357
494,Ignacio García,Antofagasta,1973-07-09,3,3467776
95,Joaquín Torres,Puerto Montt,1995-03-21,2,179786
122,Mateo Riquelme,Chillán ,1886-07-07,2,113618
11,Antonia Rojas,Temuco,1977-05-22,2,80611
90,Isidora Martínez,Concepción,1984-06-11,0,0
36,Isidora Pérez,Santiago,1997-12-14,2,61497
255,Daniela Torres,Santiago,1985-03-29,2,2887802
395,Fernanda Contreras,Puerto Montt,1956-01-24,1,500495
129,Catalina Fuentes,Concepción,2007-08-10,2,33108
176,Pedro Mendoza,Santiago,1987-05-04,2,112614
110,Ignacio Riquelme,Temuco,1971-07-17,1,17665
417,Antonio Pérez,Valparaíso,1980-06-04,0,0
501,María López,Santiago,1990-08-12,1,81631
547,Valentina García,Santiago,1997-01-08,3,2005347
209,Antonio Hernández,Rancagua,1980-03-06,0,0
387,Gabriel García,Santiago,2010-05-27,1,31947
293,Daniela Martínez,Santiago,1970-08-14,0,0
524,Mateo Rojas,Iquique,2002-04-13,0,0
96,Camila Torres,Concepción,2010-11-10,0,0
243,Lucas López,Santiago,1995-06-28,1,2224101
521,Lucas López,Santiago,1994-02-02,0,0
80,Ana López,Santiago,1996-02-15,0,0
62,Martina Rios,Concepción,2010-11-05,0,0
83,Valentina Torres,Santiago,2001-03-30,0,0
227,Vicente Torres,Santiago,1983-06-20,2,626250
208,Valentina Ramírez,Santiago,1988-04-22,1,33020
485,Ana Contreras,Santiago,1978-09-04,1,7653
261,Joaquín Fuentes,Valparaíso,1990-06-09,1,31369
98,María Martínez,Concepción,2021-08-15,0,0
591,Isidora González,Antofagasta,1996-04-03,0,0
428,Camila Flores,Antofagasta,1991-10-09,1,21870
220,Mateo Ramírez,Santiago,1989-05-24,0,0
126,Sofía García,Santiago,1988-07-23,0,0
359,Camila Silva,Concepción,1989-10-11,2,83550
274,Antonia Vargas,Valparaíso,1983-04-04,3,1080902
137,Ignacio Pérez,Santiago,1983-09-14,0,0
534,Vicente García,Santiago,2001-06-18,3,44907
455,Tomás Ramírez,Valparaíso,1978-09-30,1,92217
362,Camila González,Santiago,1984-11-08,1,22761
184,Ana Fuentes,Valparaíso,1996-03-27,1,707138
348,Vicente Hernández,Santiago,,2,141754
161,Antonio González,Santiago,1994-02-22,0,0
288,Gabriel González,Santiago,1989-01-15,0,0
92,Martina García,Chillán ,2010-05-20,0,0
115,Isidora Fuentes,Concepción,2010-03-10,1,76941
317,María Muñoz,Concepción,1982-01-20,0,0
562,Vicente Hernández,Santiago,1996-06-24,2,930262
111,Ana Martínez,Puerto Montt,1975-10-29,0,0
167,Fernanda Flores,Valparaíso,1974-03-16,1,86720
189,Ignacio García,Santiago,1988-12-13,1,91685
491,Sofía Vargas,Santiago,1969-05-11,2,180922
124,María Díaz,Concepción,2002-03-04,1,1130707
41,Joaquín González,Santiago,1988-08-26,1,18054
400,Antonio Flores,Antofagasta,2006-08-15,0,0
529,Ana Mendoza,Santiago,1988-12-19,0,0
327,Ignacio Rios,Valparaíso,1977-02-19,0,0
571,Antonia Rojas,Santiago,1988-08-06,2,263175
394,Lucas González,Valparaíso,1987-09-10,1,7162
152,Catalina Martínez,Puerto Montt,2002-09-23,3,501614
286,María López,Valparaíso,1987-06-04,2,64992
369,Fernanda García,Santiago,2000-11-03,2,70815
504,Gabriel Silva,Santiago,1989-10-29,2,2199152
67,Camila Soto,Santiago,1999-03-25,1,1908479
372,Fernanda Aravena,Rancagua,1980-12-13,2,23964
364,Isidora Fuentes,Santiago,,2,67138
45,Joaquín Vargas,Antofagasta,1986-09-01,0,0
376,Catalina González,Santiago,1981-06-09,3,629677
173,Camila Martínez,La Serena,1975-08-29,0,0
186,Isidora González,Santiago,1990-11-17,3,2253533
600,Antonia Martínez,Antofagasta,1999-08-02,1,92217
39,Mateo González,Chillán ,1998-02-21,1,293678
299,Martina Díaz,Iquique,1971-06-17,3,659726
151,Pedro Rojas,Santiago,1986-05-06,0,0
368,Lucas Aravena,Santiago,2004-12-07,3,1282914
474,María García,Santiago,2003-07-25,0,0
570,Camila Ramírez,Rancagua,1976-01-03,0,0
47,Martina Rojas,Santiago,1994-06-25,0,0
177,Lucas Rojas,Santiago,,1,109854
217,María Vargas,Santiago,1973-05-17,2,56131
230,Tomás Rojas,Concepción,1994-03-05,1,36935
319,Sofía Díaz,Concepción,1994-03-24,0,0
366,Gabriel Flores,Santiago,2002-05-15,3,1220758
171,Ignacio Torres,Concepción,1982-03-20,0,0
567,Tomás González,La Serena,2008-09-17,3,186890
174,Isidora López,Santiago,1986-04-04,2,57958
73,Fernanda Pérez,Puerto Montt,1996-03-10,0,0
1,Lucas Torres,Santiago,1974-09-06,1,81631
81,Mateo Flores,Antofagasta,1996-03-02,1,18054
185,Pedro Silva,Antofagasta,2001-09-08,1,27643
219,María Aravena,Iquique,1985-06-18,0,0
199,Ignacio García,Santiago,2004-05-25,1,18054
365,Ignacio Rios,Antofagasta,1984-02-20,1,626405
434,Ana Vargas,Santiago,1996-04-15,0,0
397,Camila Aravena,Santiago,2000-01-01,2,2037895
279,Pedro González,Concepción,1996-02-16,0,0
351,Ana Aravena,Chillán ,1996-05-09,1,147143
332,María Díaz,Santiago,2008-11-19,0,0
16,Valentina Contreras,Santiago,1986-07-05,0,0
539,Martina Díaz,Concepción,1994-05-08,1,671781
503,Gabriel Vargas,Iquique,2000-12-07,1,74176
458,Catalina Rojas,Temuco,1977-04-14,2,754302
183,María Aravena,La Serena,1990-04-10,1,27643
342,Isidora Aravena,Valparaíso,1973-07-07,0,0
306,Ignacio Contreras,Concepción,2010-10-09,3,367792
302,Lucas Rojas,Puerto Montt,1976-07-06,0,0
436,Tomás Hernández,Santiago,1990-12-25,2,126682
596,Antonia Rojas,Santiago,1972-05-15,0,0
87,Mateo Mendoza,Santiago,1991-02-19,2,112642
572,Daniela Aravena,Santiago,1997-01-10,1,60249
35,Mateo Hernández,Rancagua,1999-01-11,0,0
26,Camila Rios,Santiago,1987-01-12,0,0
403,Daniela García,Santiago,2010-06-30,2,109278
563,Isidora Mendoza,La Serena,1996-03-05,2,30414
93,Martina Torres,Valparaíso,2004-11-23,1,33020
325,Fernanda García,Santiago,1964-04-06,1,35689
253,Fernanda Fuentes,Santiago,1986-05-15,0,0
242,Lucas Ramírez,Temuco,1995-10-22,1,58605
102,Isidora Pérez,Santiago,2010-02-28,1,32120
384,Daniela Torres,La Serena,1993-02-21,1,74176
